unique.ID,root.sp.ID,block,water,microbe,rep,bkgrd,focal,ACAM_density,BRHO,num.focal.indiv,date,sample.collected,num.bg.indiv,num.resprouted.BRHO.focals,notes,partial.collection.date2,partial.completed,focal.DC,bkgrd.DC,issues,root.sample.species,date.root.prep,date.stained,date.AMF.quantified,staining.notes
61,B,9,0.6,0,3,ACAM,BRHO,0,focal,1,5/31/2024,X,0,1,1 focal veg & not collected,,,,,,BRHO,06/03/24,,,
64,B,30,0.6,0,3,ACAM,BRHO,12,focal,2,05/24/24,X,11,1,,,,X,X,,BRHO,,,,
66,B,12,0.6,0,3,ACAM,BRHO,24,focal,2,5/11/2024,X,20,1,ALLO,,,X,X,,BRHO,,,,
81,B,9,1,0,3,ACAM,BRHO,0,focal,2,5/12/2024,X,NA,,ALLO,,,X,NA,this was not recorded on 5/12. ,BRHO,06/03/24,,,
84,B,22,1,0,3,ACAM,BRHO,12,focal,2,05/17/24,x,8,0,,,,X,X,,BRHO,06/24/24,06/25/24,,
86,B,3,1,0,3,ACAM,BRHO,24,focal,2,5/11/2024,X,15,,,,,X,X,,BRHO,,,,
91,B,22,0.6,0,4,ACAM,BRHO,0,focal,2,5/16/2024,1 OF 2 X,,,PARTIAL COLLECTION,,,,,,BRHO,06/03/24,,,
94,B,9,0.6,0,4,ACAM,BRHO,12,focal,2,5/12/2024,X,13,1,,,,X,X,,BRHO,06/03/24,,,
96,B,2,0.6,0,4,ACAM,BRHO,24,focal,2,5/12/2024,X,23,1,,,,X,X,,BRHO,06/24/24,06/25/24,,
111,B,12,1,0,4,ACAM,BRHO,0,focal,2,5/16/2024,X,NA,2,,,,X,,,BRHO,6/27/24,6/28/24,,
114,B,2,1,0,4,ACAM,BRHO,12,focal,2,5/13/2024,X,12,,,,,X,X,,BRHO,6/27/24,,,
116,B,42,1,0,4,ACAM,BRHO,24,focal,2,5/11/2024,X,28,,,,,X,X,,BRHO,,,,
121,B,2,0.6,0,5,ACAM,BRHO,0,focal,2,5/11/2024,X,NA,,,,ALLO,X,,,BRHO,6/24/24,06/25/24,,
124,B,2,0.6,0,5,ACAM,BRHO,12,focal,2,5/12/2024,X,8,,,,,X,X,,BRHO,,,,
126,B,12,0.6,0,5,ACAM,BRHO,24,focal,2,5/12/2024,X,18,1,,,,X,X,,BRHO,,,,
141,B,30,1,0,5,ACAM,BRHO,0,focal,2,5/27/2024,X,0,,,,,,,,BRHO,6/27/24,6/28/24,,
144,B,20,1,0,5,ACAM,BRHO,12,focal,2,05/17/24,x,8,,,,,X,X,,BRHO,06/03/24,,,
146,B,4,1,0,5,ACAM,BRHO,24,focal,2,5/12/2024,X,18,1,,,,X,X,roots were not washed day of sampling; found on 5/21 & decided not to use since it is so long after sampling,BRHO,,,,
151,B,36,0.6,1,1,ACAM,BRHO,0,focal,2,5/16/2024,2 OF 2 X,NA,,PARTIAL COLLECTION; ALLO,5/30/2024,X,,,,BRHO,06/03/24,,,
154,B,24,0.6,1,1,ACAM,BRHO,12,focal,2,5/16/2024,2 OF 2 X,5,,PARTIAL COLLECTION,5/23/2024,X,X,X,,BRHO,6/27,,,
156,B,8,0.6,1,1,ACAM,BRHO,24,focal,2,5/16/2024,X,18,,,,,X,X,,BRHO,,,,
171,B,32,1,1,1,ACAM,BRHO,0,focal,2,5/17/2024,1 OF 2 X,NA,,PARTIAL COLLECTION,,,,,,BRHO,,,,
174,B,39,1,1,1,ACAM,BRHO,12,focal,2,5/11/2024,X,9,1,ALLO,,,X,X,,BRHO,06/03/24,,,
176,B,24,1,1,1,ACAM,BRHO,24,focal,2,5/10/2024,X,11,,,,,X,X,,BRHO,,,,
181,B,5,0.6,1,2,ACAM,BRHO,0,focal,2,5/10/2024,X,NA,,,,,X,,,BRHO,06/03/24,,,
184,B,35,0.6,1,2,ACAM,BRHO,12,focal,2,5/20/2024,X,6,,,,,X,X,,BRHO,,,,
186,B,7,0.6,1,2,ACAM,BRHO,24,focal,2,5/11/2024,X,18,,,,,X,X,,BRHO,,,,
201,B,16,1,1,2,ACAM,BRHO,0,focal,2,5/16/2024,X,NA,,ALLO,,,X,,,BRHO,6/27/24,,,
204,B,26,1,1,2,ACAM,BRHO,12,focal,,,,,,,,,,,,BRHO,6/27/24,06/27/24,,
206,B,13,1,1,2,ACAM,BRHO,24,focal,2,05/24/24,X,14,0,,,,X,X,,BRHO,,,,
211,B,23,0.6,1,3,ACAM,BRHO,0,focal,2,5/16/2024,X,NA,,,,,X,,,BRHO,,,,
214,B,14,0.6,1,3,ACAM,BRHO,12,focal,2,5/17/2024,1 OF 2 X,,,PARTIAL COLLECTION,,,,,,BRHO,06/03/24,,,
216,B,26,0.6,1,3,ACAM,BRHO,24,focal,2,5/27/2024,X,9,,,,,X,X,,BRHO,,,,
231,B,32,1,1,3,ACAM,BRHO,0,focal,1,5/20/2024,X,NA,1,1 phyto veg & not collected,,X,,,,BRHO,6/27/24,6/28//24,,
234,B,18,1,1,3,ACAM,BRHO,12,focal,2,5/13/2024,X,11,1,,,,X,X,,BRHO,6/27/24,6/27/24,06/28/24,
236,B,38,1,1,3,ACAM,BRHO,24,focal,2,5/16/2024,X,7,,,,,X,X,,BRHO,,,,
241,B,14,0.6,1,4,ACAM,BRHO,0,focal,2,5/12/2024,2 of 2 X,0,,PARTIAL COLLECTION,5/23/2024,X,X,NA,,BRHO,6/27/24,06/28/24,,
244,B,37,0.6,1,4,ACAM,BRHO,12,focal,2,5/12/2024,X,6,,,,,X,X,,BRHO,06/24/24,06/25/24,,
246,B,23,0.6,1,4,ACAM,BRHO,24,focal,2,5/20/2024,1 OF 2 X,,2,PARTIAL COLLECTION,,,,,,BRHO,,,,
261,B,7,1,1,4,ACAM,BRHO,0,focal,2,05/17/24,x,0,0,,,,X,,,BRHO,06/24/24,06/25/24,,
264,B,35,1,1,4,ACAM,BRHO,12,focal,2,5/12/2024,1 of 2 X,,,PARTIAL COLLECTION,,,,,,BRHO,06/03/24,,,
266,B,8,1,1,4,ACAM,BRHO,24,focal,2,5/12/2024,X,15,1,,,,X,X,,BRHO,,,,
271,B,40,0.6,1,5,ACAM,BRHO,0,focal,2,5/16/2024,X,NA,,,,,X,,,BRHO,06/03/24,,,
274,B,35,0.6,1,5,ACAM,BRHO,12,focal,2,5/12/2024,X,6,2,,,,X,X,,BRHO,,,,
276,B,31,0.6,1,5,ACAM,BRHO,24,focal,2,5/12/2024,X,12,,,,,X,X,,BRHO,,,,
291,B,40,1,1,5,ACAM,BRHO,0,focal,2,05/24/24,X,0,0,,,,X,,,BRHO,,,,
294,B,17,1,1,5,ACAM,BRHO,12,focal,1,05/31/24,X,6,1,"1 focal veg & not collected, some green heads on collected indiv",,,,,,BRHO,,,,
296,B,18,1,1,5,ACAM,BRHO,24,focal,2,5/20/2024,2 OF 2 X,11,1,PARTIAL COLLECTION,5/29/24,X,X,X,,BRHO,6/27/24,6/28/24,,
21,A,29,1,0,1,ACAM,BRHO,0,focal,2,5/30/2024,X,NA,,,,,,,,ACAM,,,,
24,A,1,1,0,1,ACAM,BRHO,12,focal,2,5/20/2024,2 OF 2 X,10,,PARTIAL COLLECTION,5/30/2024,X,,,,ACAM,,,,
26,A,19,1,0,1,ACAM,BRHO,24,focal,2,5/17/2024,2 OF 2 X,17,,PARTIAL COLLECTION,5/23/24,X,X,X,,ACAM,,,,
51,A,27,1,0,2,ACAM,BRHO,0,focal,2,5/12/2024,2 OF 2 X,NA,,PARTIAL COLLECTION,05/27/24,X,X,NA,,ACAM,,,,
54,A,11,1,0,2,ACAM,BRHO,12,focal,2,5/10/2024,X,8,,,,,X,X,,ACAM,,,,
56,A,30,1,0,2,ACAM,BRHO,24,focal,2,05/17/24,x,17,0,,,,X,X,,ACAM,,,,
81,A,9,1,0,3,ACAM,BRHO,0,focal,2,5/12/2024,X,NA,,ALLO,,,X,NA,this was not recorded on 5/12. ,ACAM,,,,
84,A,22,1,0,3,ACAM,BRHO,12,focal,2,05/17/24,x,8,0,,,,X,X,,ACAM,,,,
86,A,3,1,0,3,ACAM,BRHO,24,focal,2,5/11/2024,X,15,,,,,X,X,,ACAM,,,,
111,A,12,1,0,4,ACAM,BRHO,0,focal,2,5/16/2024,X,NA,2,,,,X,,,ACAM,,,,
114,A,2,1,0,4,ACAM,BRHO,12,focal,2,5/13/2024,X,12,,,,,X,X,,ACAM,,,,
116,A,42,1,0,4,ACAM,BRHO,24,focal,2,5/11/2024,X,28,,,,,X,X,,ACAM,,,,
141,A,30,1,0,5,ACAM,BRHO,0,focal,2,5/27/2024,X,0,,,,,,,,ACAM,,,,
144,A,20,1,0,5,ACAM,BRHO,12,focal,2,05/17/24,x,8,,,,,X,X,,ACAM,,,,
146,A,4,1,0,5,ACAM,BRHO,24,focal,2,5/12/2024,X,18,1,,,,X,X,roots were not washed day of sampling; found on 5/21 & decided not to use since it is so long after sampling,ACAM,,,,
171,A,32,1,1,1,ACAM,BRHO,0,focal,2,5/17/2024,1 OF 2 X,NA,,PARTIAL COLLECTION,,,,,,ACAM,,,,
174,A,39,1,1,1,ACAM,BRHO,12,focal,2,5/11/2024,X,9,1,ALLO,,,X,X,,ACAM,,,,
176,A,24,1,1,1,ACAM,BRHO,24,focal,2,5/10/2024,X,11,,,,,X,X,,ACAM,,,,
201,A,16,1,1,2,ACAM,BRHO,0,focal,2,5/16/2024,X,NA,,ALLO,,,X,,,ACAM,,,,
204,A,26,1,1,2,ACAM,BRHO,12,focal,,,,,,,,,,,,ACAM,,,,
206,A,13,1,1,2,ACAM,BRHO,24,focal,2,05/24/24,X,14,0,,,,X,X,,ACAM,,,,
231,A,32,1,1,3,ACAM,BRHO,0,focal,1,5/20/2024,X,NA,1,1 phyto veg & not collected,,X,,,,ACAM,,,,
234,A,18,1,1,3,ACAM,BRHO,12,focal,2,5/13/2024,X,11,1,,,,X,X,,ACAM,,,,
236,A,38,1,1,3,ACAM,BRHO,24,focal,2,5/16/2024,X,7,,,,,X,X,,ACAM,,,,
261,A,7,1,1,4,ACAM,BRHO,0,focal,2,05/17/24,x,0,0,,,,X,,,ACAM,,,,
264,A,35,1,1,4,ACAM,BRHO,12,focal,2,5/12/2024,1 of 2 X,,,PARTIAL COLLECTION,,,,,,ACAM,,,,
266,A,8,1,1,4,ACAM,BRHO,24,focal,2,5/12/2024,X,15,1,,,,X,X,,ACAM,,,,
291,A,40,1,1,5,ACAM,BRHO,0,focal,2,05/24/24,X,0,0,,,,X,,,ACAM,,,,
294,A,17,1,1,5,ACAM,BRHO,12,focal,1,05/31/24,X,6,1,"1 focal veg & not collected, some green heads on collected indiv",,,,,,ACAM,,,,
296,A,18,1,1,5,ACAM,BRHO,24,focal,2,5/20/2024,2 OF 2 X,11,1,PARTIAL COLLECTION,5/29/24,X,X,X,,ACAM,,,,
1,A,28,0.6,0,1,ACAM,BRHO,0,focal,,,,,,,,,,,,ACAM,,,,
4,A,27,0.6,0,1,ACAM,BRHO,12,focal,,,,,,,,,,,,ACAM,,,,
6,A,4,0.6,0,1,ACAM,BRHO,24,focal,,,,,,,,,,,,ACAM,,,,
31,A,30,0.6,0,2,ACAM,BRHO,0,focal,,,,,,,,,,,,ACAM,,,,
34,A,4,0.6,0,2,ACAM,BRHO,12,focal,,,,,,,,,,,,ACAM,,,,
36,A,22,0.6,0,2,ACAM,BRHO,24,focal,,,,,,,,,,,,ACAM,,,,
61,A,9,0.6,0,3,ACAM,BRHO,0,focal,,,,,,,,,,,,ACAM,,,,
64,A,30,0.6,0,3,ACAM,BRHO,12,focal,,,,,,,,,,,,ACAM,,,,
66,A,12,0.6,0,3,ACAM,BRHO,24,focal,,,,,,,,,,,,ACAM,,,,
91,A,22,0.6,0,4,ACAM,BRHO,0,focal,,,,,,,,,,,,ACAM,,,,
94,A,9,0.6,0,4,ACAM,BRHO,12,focal,,,,,,,,,,,,ACAM,,,,
96,A,2,0.6,0,4,ACAM,BRHO,24,focal,,,,,,,,,,,,ACAM,,,,
121,A,2,0.6,0,5,ACAM,BRHO,0,focal,,,,,,,,,,,,ACAM,,,,
124,A,2,0.6,0,5,ACAM,BRHO,12,focal,,,,,,,,,,,,ACAM,,,,
126,A,12,0.6,0,5,ACAM,BRHO,24,focal,,,,,,,,,,,,ACAM,,,,
151,A,36,0.6,1,1,ACAM,BRHO,0,focal,,,,,,,,,,,,ACAM,,,,
154,A,24,0.6,1,1,ACAM,BRHO,12,focal,,,,,,,,,,,,ACAM,,,,
156,A,8,0.6,1,1,ACAM,BRHO,24,focal,,,,,,,,,,,,ACAM,,,,
181,A,5,0.6,1,2,ACAM,BRHO,0,focal,,,,,,,,,,,,ACAM,,,,
184,A,35,0.6,1,2,ACAM,BRHO,12,focal,,,,,,,,,,,,ACAM,,,,
186,A,7,0.6,1,2,ACAM,BRHO,24,focal,,,,,,,,,,,,ACAM,,,,
211,A,23,0.6,1,3,ACAM,BRHO,0,focal,,,,,,,,,,,,ACAM,,,,
214,A,14,0.6,1,3,ACAM,BRHO,12,focal,,,,,,,,,,,,ACAM,,,,
216,A,26,0.6,1,3,ACAM,BRHO,24,focal,,,,,,,,,,,,ACAM,,,,
241,A,14,0.6,1,4,ACAM,BRHO,0,focal,,,,,,,,,,,,ACAM,,,,
244,A,37,0.6,1,4,ACAM,BRHO,12,focal,,,,,,,,,,,,ACAM,,,,
246,A,23,0.6,1,4,ACAM,BRHO,24,focal,,,,,,,,,,,,ACAM,,,,
271,A,40,0.6,1,5,ACAM,BRHO,0,focal,,,,,,,,,,,,ACAM,,,,
274,A,35,0.6,1,5,ACAM,BRHO,12,focal,,,,,,,,,,,,ACAM,,,,
276,A,31,0.6,1,5,ACAM,BRHO,24,focal,,,,,,,,,,,,ACAM,,,,
