unique.ID,old.block,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO,notes,bkgrd.seed.weight,bkgrd.seeded,focal.seeded,date,initials,ind.proj.pot,focal.germ?,bkgrd.germ?,notes,date,thinning,thinning_r3,nodules_present,nodule_notes - just from a subset of roots; can't eliminate contamination but can find it
42,28,28,0.75,0,2,ACAM,BRHO,3,focal,,NA,X,X,1/10/24,CW,no,8,3,thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
43,20,4,0.75,0,2,ACAM,BRHO,6,focal,,NA,X,X,1/10/24,CW,no,8,4,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
44,25,20,0.75,0,2,ACAM,BRHO,12,focal,REPLACED POT. Used Wrong trowel + watered 100g 1/9/24,NA,X,X,1/11/24,CW,no,7,6,bkgrd a bit sparse; thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
45,38,42,0.75,0,2,ACAM,BRHO,18,focal,,NA,X,X,1/11/24,CW,no,,,,,thinned to 2 focals 2/14,,,
46,29,28,0.75,0,2,ACAM,BRHO,24,focal,,0.264,X,X,1/10/24,CW,no,8,18,thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
47,23,19,0.75,0,2,ACAM,BRHO,36,focal,,0.244,X,X,1/11/24,CW,no,8,22,thinned to 4 focals 1/26,,thinned to 2 indiv 2/9 or 2/11?,,,
48,22,19,0.75,0,2,ACAM,BRHO,48,focal,,0.324,X,X,1/11/24,CW,no,7,38,thinned to 4 focals 1/26,,thinned to 2 indiv 2/9 or 2/11?,,,
49,26,27,0.75,0,2,ACAM,BRHO,60,focal,,0.407,X,X,1/10/24,CW,no,6,39,sparse backgroumd,,thinned to 2 focals 2/9 or 2/11?,,,
50,42,20,0.75,0,2,ACAM,BRHO,84,focal,,0.567,X,X,1/11/24,CW,no,8,53,bkgrd a bit sparse; thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
51,26,27,1,0,2,ACAM,BRHO,0,focal,,NA,NA,X,1/10/24,CW,TB,8,0,,,thinned to 4 focals 2/14; SAVE YELLOW & BLUE FOR CARMEN; OTHER 2 BLUE FOR TB,,,
52,8,10,1,0,2,ACAM,BRHO,3,focal,,NA,X,X,1/10/24,CW,no,7,4,more than density; thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
53,23,20,1,0,2,ACAM,BRHO,6,focal,,NA,X,X,1/11/24,CW,no,7,4,thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
54,11,11,1,0,2,ACAM,BRHO,12,focal,,NA,X,X,1/10/24,CW,TB,8,8,,,thinned to 4 focals 2/8; SAVE BLACK & GOLD FOR CARMEN; PINK FOR TB,,N,
55,3,2,1,0,2,ACAM,BRHO,18,focal,,NA,X,X,1/10/24,CW,no,8,13,thinned to 4 focals 1/25,,thinned to 2 focals 2/8,,,
56,33,30,1,0,2,ACAM,BRHO,24,focal,,0.164,X,X,1/11/24,CW,TB,7,16,,,thinned to 4 focals 2/11; SAVE YELLOW FOR CARMEN; TEAL & PURPLE FOR TB,,N,
57,29,28,1,0,2,ACAM,BRHO,36,focal,,0.244,X,X,1/10/24,CW,no,7,30,thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
58,42,4,1,0,2,ACAM,BRHO,48,focal,,0.324,X,X,1/10/24,CW,TB,7,33,,,thinned to 4 focals 2/8; SAVE RED FOR CARMEN; PINK FOR TB,,,
59,29,28,1,0,2,ACAM,BRHO,60,focal,,0.409,X,X,1/10/24,CW,no,6,45,thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
60,21,19,1,0,2,ACAM,BRHO,84,focal,,0.567,X,X,1/11/24,CW,no,6,58,bkgrd a bit sparse; thinned to 4 focals 1/26,,thinned to 2 indiv 2/9 or 2/11?,,,
61,6,9,0.6,0,3,ACAM,BRHO,0,focal,,NA,NA,X,1/10/24,CW,TB,6,0,,,thinned to 4 focals 2/8; SAVE BLUE FOR CARMEN; SAMPLE RED INDIV,,,
62,45,27,0.6,0,3,ACAM,BRHO,3,focal,,NA,X,X,1/10/24,CW,no,7,2,thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
63,7,9,0.6,0,3,ACAM,BRHO,6,focal,,NA,X,X,1/10/24,CW,no,8,3,sparse background; thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
64,34,30,0.6,0,3,ACAM,BRHO,12,focal,,,X,X,1/11/24,CW,TB,8,10,,,thinned to 4 focals 2/11; SAVE 2 GREEN INDIV FOR CARMEN; RED & YELLOW FOR TB,,,
65,43,20,0.6,0,3,ACAM,BRHO,18,focal,,NA,X,X,1/11/24,CW,no,7,10,bkgrd a bit sparse; thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
66,12,12,0.6,0,3,ACAM,BRHO,24,focal,,0.164,X,X,1/10/24,CW,TB,7,19,,,thinned to 4 focals; SAVE PINK FOR CARMEN; GOLD & GREEN/SILVER FOR TB,,N,
67,33,30,0.6,0,3,ACAM,BRHO,36,focal,,,X,X,1/11/24,CW,no,8,31,thinned to 4 focals 1/26,,thinned to 2 focals 2/9,,,
68,35,21,0.6,0,3,ACAM,BRHO,48,focal,,0.324,X,X,1/11/24,CW,TB,7,34,,,thinned to 4 focals 2/11; SAVE GREEN IN Q1/Q4 FOR CARMEN; GREEN IN Q2/Q3 FOR TB,,,
69,45,1,0.6,0,3,ACAM,BRHO,60,focal,,0.407,X,X,1/10/24,CW,no,6,46,thinned focals to 4 1/25,,thinned focals to 2 2/8,,,
70,37,22,0.6,0,3,ACAM,BRHO,84,focal,,0.567,X,X,1/11/24,CW,no,6,52,thinned to 4 focals 1/27,,thinned to 2 focals 2/11,,,
71,8,10,0.75,0,3,ACAM,BRHO,0,focal,,NA,NA,X,1/10/24,CW,no,8,0,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
72,10,11,0.75,0,3,ACAM,BRHO,3,focal,,NA,X,X,1/10/24,CW,no,8,2,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
73,43,21,0.75,0,3,ACAM,BRHO,6,focal,,NA,X,X,1/11/24,CW,no,8,6,thinned to 4 focals 1/27,,thinned to 2 focals 2/11,,,
74,32,29,0.75,0,3,ACAM,BRHO,12,focal,,NA,X,X,1/11/24,CW,no,7,9,thinned to 4 focals 1/26,,thinned to 2 focals 2/9,,,
75,5,1,0.75,0,3,ACAM,BRHO,18,focal,,NA,X,X,1/10/24,CW,no,7,15,thinned focals to 4 1/25,,thinned focals to 2 2/8,,,
76,25,27,0.75,0,3,ACAM,BRHO,24,focal,,0.164,X,X,1/10/24,CW,no,8,22,thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
77,26,27,0.75,0,3,ACAM,BRHO,36,focal,,0.244,X,X,1/10/24,CW,no,7,28,thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
78,14,12,0.75,0,3,ACAM,BRHO,48,focal,,0.324,X,X,1/10/24,CW,no,8,30,,,thinned to 2 focals 2/8,,,
79,32,29,0.75,0,3,ACAM,BRHO,60,focal,,0.408,X,X,1/11/24,CW,no,7,51,thinned to 4 focals 1/26,,thinned to 2 focals 2/9,,,
80,38,42,0.75,0,3,ACAM,BRHO,84,focal,,,X,X,1/11/24,CW,no,,,,,thinned to 2 focals 2/14,,,
81,6,9,1,0,3,ACAM,BRHO,0,focal,,NA,NA,X,1/10/24,CW,TB,8,0,,,thinned to 4 focals 2/8; SAVE PURPLE FOR CARMEN; GREEN/SILVER FOR TB,,,
82,35,21,1,0,3,ACAM,BRHO,3,focal,,NA,X,X,1/11/24,CW,no,8,3,thinned to 4 focals 1/27,,thinned to 2 focals 2/11,,,
83,32,30,1,0,3,ACAM,BRHO,6,focal,,NA,X,X,1/11/24,CW,no,8,6,thinned to 4 focals 1/26,,thinned to 2 focals 2/9,,,
84,36,22,1,0,3,ACAM,BRHO,12,focal,,NA,X,X,1/11/24,CW,TB,7,8,,,thinned to 4 focals 2/11; SAVE RED FOR CARMEN; PURPLE& YELLOW FOR TB,,N,
85,41,19,1,0,3,ACAM,BRHO,18,focal,,NA,X,X,1/11/24,CW,no,8,14,thinned to 4 focals 1/26,,thinned to 2 indiv 2/9 or 2/11?,,,
86,16,3,1,0,3,ACAM,BRHO,24,focal,,NA,X,X,1/10/24,CW,TB,8,14,,,thinned to 4 focals 2/8; SAVE 2 TEAL IN OPP CORNERS Q1/Q4 FOR CARMEN; 2 TEAL IN Q2 FOR TB,,N,
87,15,3,1,0,3,ACAM,BRHO,36,focal,,0.244,X,X,1/10/24,CW,no,8,31,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
88,36,21,1,0,3,ACAM,BRHO,48,focal,,0.324,X,X,1/11/24,CW,TB,8,29,bkgrd a bit sparse,,thinned to 4 focals 2/11; SAVE YELLOW & BLUE IN OPP CORNERS FOR CARMEN; OTHER BLUE & PURPLE FOR TB,,,
89,28,28,1,0,3,ACAM,BRHO,60,focal,,0.408,X,X,1/10/24,CW,no,5,44,bkgrd a bit sparse; thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
90,12,12,1,0,3,ACAM,BRHO,84,focal,,0.569,X,X,1/10/24,CW,no,7,61,,,thinned to 2 focals 2/8,,,
91,38,22,0.6,0,4,ACAM,BRHO,0,focal,,NA,NA,X,1/11/24,CW,TB,7,0,,,thinned to 4 focals 2/11; SAVE BLUE FOR CARMEN; PINK & YELLOW FOR TB,,,
92,42,4,0.6,0,4,ACAM,BRHO,3,focal,,NA,X,X,1/10/24,CW,no,7,3,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
93,9,10,0.6,0,4,ACAM,BRHO,6,focal,,NA,X,X,1/10/24,CW,no,8,4,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
94,6,9,0.6,0,4,ACAM,BRHO,12,focal,,NA,X,X,1/10/24,CW,TB,8,12,,,thinned to 4 focals 2/8; SAVE BLUE FOR CARMEN; GREEN/SILVER & PINK FOR TB,,N,
95,44,2,0.6,0,4,ACAM,BRHO,18,focal,,NA,X,X,1/10/24,CW,no,8,15,thinned to 4 focals 1/25,,thinned to 2 focals 2/8,,,
96,2,2,0.6,0,4,ACAM,BRHO,24,focal,,0.164,X,X,1/10/24,CW,TB,7,18,,,thinned to 4 focals 2/8; SAVE 2 SILVER (GREEN) FOR CARMEN; 2 PINK FOR 1 & 2 MONTH SAMPLING,,N,
97,31,29,0.6,0,4,ACAM,BRHO,36,focal,,0.244,X,X,1/11/24,CW,no,8,25,thinned to 4 focals 1/26,,thinned to 2 focals 2/9,,,
98,5,1,0.6,0,4,ACAM,BRHO,48,focal,,0.324,X,X,1/10/24,CW,TB,7,31,,,thinned to 5 focals 2/8; SAVE 2 RED FOR CARMEN; 3 yellow for 1 & 2 month sampling,,,
99,30,28,0.6,0,4,ACAM,BRHO,60,focal,,0.408,X,X,1/10/24,CW,no,7,38,bkgrd a bit sparse; thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
100,8,9,0.6,0,4,ACAM,BRHO,84,focal,,0.568,X,X,1/10/24,CW,no,5,54,background sparse; thinned to 3 focals 1/26,,thinned to 2 focals 2/8,,,
101,8,9,0.75,0,4,ACAM,BRHO,0,focal,,NA,NA,X,1/10/24,CW,no,6,0,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
102,9,10,0.75,0,4,ACAM,BRHO,3,focal,,NA,X,X,1/10/24,CW,no,8,3,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
103,25,27,0.75,0,4,ACAM,BRHO,6,focal,,NA,X,X,1/10/24,CW,no,7,5,thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
104,26,27,0.75,0,4,ACAM,BRHO,12,focal,,NA,X,X,1/10/24,CW,no,6,6,sparse backgroumd; thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
105,24,20,0.75,0,4,ACAM,BRHO,18,focal,,NA,X,X,1/11/24,CW,no,5,15,thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
106,3,1,0.75,0,4,ACAM,BRHO,24,focal,,0.164,X,X,1/10/24,CW,no,6,18,thinned focals to 4 1/25,,thinned focals to 2 2/8,,,
107,37,22,0.75,0,4,ACAM,BRHO,36,focal,,0.244,X,X,1/11/24,CW,no,8,32,thinned to 4 focals 1/27,,thinned to 2 focals 2/11,,,
108,4,1,0.75,0,4,ACAM,BRHO,48,focal,,0.324,X,X,1/10/24,CW,no,8,37,thinned focals to 4 1/25,,thinned focals to 2 2/8,,,
109,24,20,0.75,0,4,ACAM,BRHO,60,focal,,0.408,X,X,1/11/24,CW,no,7,47,thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
110,38,22,0.75,0,4,ACAM,BRHO,84,focal,,0.567,X,X,1/11/24,CW,no,6,42,thinned to 4 focals 1/27,,thinned to 2 focals 2/11,,,
111,13,12,1,0,4,ACAM,BRHO,0,focal,,NA,NA,X,1/10/24,CW,TB,5,0,,,thinned to 4 focals 2/8; SAVE PURPLE FOR CARMEN; PINK FOR TB,,,
112,12,11,1,0,4,ACAM,BRHO,3,focal,,NA,X,X,1/10/24,CW,no,8,2,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
113,31,29,1,0,4,ACAM,BRHO,6,focal,,NA,X,X,1/11/24,CW,no,7,6,thinned to 4 focals 1/26,,thinned to 2 focals 2/9,,,
114,1,2,1,0,4,ACAM,BRHO,12,focal,,NA,X,X,1/10/24,CW,TB,8,12,,,thinned to 4 focals 2/8; SAVE 2 RED IN OPP CORNERS FOR CARMEN; YELLOW FOR 1 & 2 MONTH SAMPLING,,Y,
115,1,2,1,0,4,ACAM,BRHO,18,focal,,NA,X,X,1/10/24,CW,no,7,8,background a little sparse,,thinned to 2 focals 2/8,,,
116,39,42,1,0,4,ACAM,BRHO,24,focal,,,X,X,1/11/24,CW,TB,,,,,"thinned to 4 focals 2/14; SAVE WHITE FOR CARMEN, PINK & YELLOW FOR TB",,N,
117,19,4,1,0,4,ACAM,BRHO,36,focal,,0.244,X,X,1/10/24,CW,no,6,25,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
118,45,28,1,0,4,ACAM,BRHO,48,focal,,0.324,X,X,1/10/24,CW,TB,6,31,,,thinned to 4 focals 2/14; SAVE WHITE & TEAL FOR CARMEN; TEAL & YELLOW FOR TB,,,
119,35,21,1,0,4,ACAM,BRHO,60,focal,,0.407,X,X,1/11/24,CW,no,7,39,bkgrd a bit sparse; thinned to 4 focals 1/27,,thinned to 2 focals 2/11,,,
120,14,12,1,0,4,ACAM,BRHO,84,focal,,0.568,X,X,1/10/24,CW,no,7,63,,,thinned to 2 focals 2/8,,,
121,1,2,0.6,0,5,ACAM,BRHO,0,focal,,NA,NA,X,1/10/24,CW,TB,7,0,,,thinned to 4 focals 2/8; SAVE 2 GOLD IN OPP CORNERS FOR CARMEN; PINK FOR 1 & 2 MONTH SAMPLING,,,
124,2,2,0.6,0,5,ACAM,BRHO,12,focal,,NA,X,X,1/10/24,CW,TB,8,6,background a little sparse,,thinned to 4 focals 2/8; SAVE 1 SILVER & 1 BLUE IN OPP CORNERS FOR CARMEN; 2 PINK FOR 1 & 2 MONTH SAMPLING,,N,
126,15,12,0.6,0,5,ACAM,BRHO,24,focal,,0.164,X,X,1/10/24,CW,TB,7,17,,,thinned to 4 focals 2/8; SAVE 2 PINKS IN OPP CORNERS FOR CARMEN; PINK & GREEN/SILVER FOR TB,,N,
128,33,30,0.6,0,5,ACAM,BRHO,48,focal,,,X,X,1/11/24,CW,TB,5,39,,,thinned to 4 focals 2/11; SAVE RED & YELLOW FOR CARMEN; BLUE FOR TB,,N,
131,9,10,0.75,0,5,ACAM,BRHO,0,focal,,NA,NA,X,1/10/24,CW,no,8,0,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
134,10,11,0.75,0,5,ACAM,BRHO,12,focal,,NA,X,X,1/10/24,CW,no,7,9,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
136,10,11,0.75,0,5,ACAM,BRHO,24,focal,,0.164,X,X,1/10/24,CW,no,8,16,thinned to 4 focals 1/26,,thinned to 2 focals 2/8,,,
138,24,20,0.75,0,5,ACAM,BRHO,48,focal,,0.324,X,X,1/11/24,CW,no,8,28,bkgrd a bit sparse; thinned to 4 focals 1/26,,thinned to 2 focals 2/9 or 2/11?,,,
141,34,30,1,0,5,ACAM,BRHO,0,focal,,,X,X,1/11/24,CW,TB,7,0,,,thinned to 4 focals 2/11; SAVE PINK FOR CARMEN; YELLOW & PURPLE FOR TB,,,
144,23,20,1,0,5,ACAM,BRHO,12,focal,,NA,X,X,1/11/24,CW,TB,6,7,,,thinned to 4 focals 2/14; SAVE YELLOW & PINK FOR CARMEN; YELLOW & WHITE FOR TB,,N,
146,20,4,1,0,5,ACAM,BRHO,24,focal,,0.164,X,X,1/10/24,CW,TB,7,17,,,thinned to 4 focals 2/8; SAVE RED/YELLOW FOR CARMEN; YELLOW FOR TB,,,
148,41,11,1,0,5,ACAM,BRHO,48,focal,,0.324,X,X,1/10/24,CW,TB,9,31,,,thinned to 4 focals 2/8; SAVE PURPLE FOR CARMEN; GREEN/SILVER FOR TB,,,
151,30,36,0.6,1,1,ACAM,BRHO,0,focal,,NA,NA,X,1/9/24,CW,AFG,8,0,,,thinned to 4 focals 2/9; SAVE PURPLE/PINK & PURPLE/GOLD INDIVS FOR CARMEN; RED & YELLOW INDIV FOR AFG,ok,,
152,13,15,0.6,1,1,ACAM,BRHO,3,focal,Used Sterile ACAM,N/A,X,X,1/9/24,CE,no,6,3,thinned to 3 focals 1/25,,thinned to 2 focals 2/14,ok,,
153,43,38,0.6,1,1,ACAM,BRHO,6,focal,Seeded by Julia 1/11,,,,,,no,8,3,thinned to 4 focals 1/25,,thinned to 2 focals 2/9,ok,,
154,17,24,0.6,1,1,ACAM,BRHO,12,focal,,,X,X,1/11/24,CW,AFG,8,6,bkgrd a bit sparse,,thinned to 4 2/15; SAVE Q2 & Q3 GREENS FOR CW; 2 Q1 GREENS FOR AFG,ok,Y,
155,28,35,0.6,1,1,ACAM,BRHO,18,focal,,NA,X,X,1/9/24,CW,no,6,13,thinned to 4 focals 1/25,,thinned to 2 focals 2/9,ok,,
156,10,8,0.6,1,1,ACAM,BRHO,24,focal,,NA,X,X,1/10/24,CW,AFG,9,18,,,thinned to 4 focals 2/14; SAVE RED FOR CARMEN; GOLD FOR AFG,ok,Y,
157,21,26,0.6,1,1,ACAM,BRHO,36,focal,,0.245,X,X,1/27/24,CW,no,3,3,replanted as not enough bg germ,,thinned to 4 focals 2/11,thinned to 2 focals late Feb; ok now,,
158,17,24,0.6,1,1,ACAM,BRHO,48,focal,,,X,X,1/11/24,CW,AFG,7,26,sparse backgroumd,,thinned to 4 2/15; SAVE Q1 WHITE & Q2 PINK FOR CW; 2 WHITE IN Q3 FOR AFG,ok,,
159,15,23,0.6,1,1,ACAM,BRHO,60,focal,,0.409,X,X,1/27/24,CW,no,7,11,REPLANTED DUE TO LOW BG GERM,,thinned to 4 focals 2/14,ok,,
160,22,17,0.6,1,1,ACAM,BRHO,84,focal,,0.569,X,X,1/27/24,CW,no,3,15,replanted as not enough bg germ,,thinned to 4 focals 2/15,thinned to 2 focals 3/1,,
161,27,32,0.75,1,1,ACAM,BRHO,0,focal,,NA,NA,X,1/9/24,CW,JA,8,0,,,thinned to 4 focals; SAVE RED/WHITE FOR CW; OTHER WHITE & PINK FOR JA,thinned to 3 indiv 2/28,,
162,4,6,0.75,1,1,ACAM,BRHO,3,focal,,n/a,x,x,1/9/24,TB,JA,8,2,,,thinned to 4 focals 2/16; SAVE PINK/WHITE FOR CW; OTHER 2 WHITE FOR JA,thinned to 3 focals 3/1,,
